Name,URL,Address,ZIP
高原温泉 大雪高原山荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ht005,北海道上川郡上川町層雲峡高原温泉,078-1701
旭岳温泉 湯元 湧駒荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=hy009,北海道上川郡東川町勇駒別旭岳温泉,071-1472
芽登温泉 芽登温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=hm008,北海道足寄郡足寄町芽登2979,089-3872
丸駒温泉 丸駒温泉旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=hm007,北海道千歳市幌美内7番地,066-0287
上の湯温泉 銀婚湯,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=hg002,北海道二海郡八雲町上の湯199,049-2566
知内温泉 知内温泉旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=hs004,北海道上磯郡知内町湯ノ里284番地,049-1221
男鹿温泉 元湯 雄山閣,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=am202,秋田県秋田県男鹿市北浦湯本字草木原52,010-0687
蒸の湯温泉 ふけの湯,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ah033,秋田県鹿角市八幡平字熊沢国有林,018-5141
乳頭温泉郷 鶴の湯温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=at031,秋田県仙北市田沢湖田沢先達沢国有林50,014-1204
乳頭温泉郷 鶴の湯別館 山の宿,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ay034,秋田県仙北市田沢湖田沢先達沢湯ノ岱1-1,014-1204
杣温泉 杣温泉旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=as192,秋田県北秋田市森吉字湯ノ岱川向湯ノ沢７,018-4511
強首温泉 樅峰苑,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=as029,秋田県大仙市強首字強首268,019-2335
